date,period,value
2020-04-29,2020-03-31,39811677.52
2020-08-17,2020-06-30,39811677.52
2020-10-29,2020-09-30,39811677.52
2021-03-26,2020-12-31,39811677.52
2021-04-23,2021-03-31,39811677.52
2021-08-20,2021-06-30,39811677.52
2021-10-27,2021-09-30,39811677.52
2022-04-15,2021-12-31,39811677.52
2022-04-26,2022-03-31,39811677.52
2022-07-26,2022-06-30,39811677.52
2022-10-26,2022-09-30,39811677.52
2023-03-28,2022-12-31,52799753.99
2023-04-27,2023-03-31,52799753.99
2023-08-24,2023-06-30,52799753.99
2023-10-28,2023-09-30,52799753.99
2024-03-28,2023-12-31,55155957.37
2024-04-25,2024-03-31,55161927.37
2024-08-22,2024-06-30,55155957.37
2024-10-25,2024-09-30,55155957.37
2025-03-27,2024-12-31,55155957.37
2025-04-25,2025-03-31,55155957.37
2025-08-28,2025-06-30,55155957.37
2025-10-28,2025-09-30,55155957.37
2026-03-26,2025-12-31,55155957.37
