date,period,value
2020-04-29,2020-03-31,172177.76
2020-08-28,2020-06-30,215187.09
2020-10-17,2020-09-30,906736.6
2021-04-01,2020-12-31,5821280.09
2021-04-16,2021-03-31,5742371.51
2021-07-28,2021-06-30,8466744.66
2021-10-30,2021-09-30,8062533.0
2022-03-12,2021-12-31,7655955.4
2022-04-30,2022-03-31,472764.1
2022-08-20,2022-06-30,203605.04
2022-10-29,2022-09-30,467526.8
2023-03-30,2022-12-31,3287848.06
2023-04-29,2023-03-31,-1549466.34
2023-08-31,2023-06-30,-875188.98
2023-10-28,2023-09-30,-529788.88
2024-03-23,2023-12-31,-580962.42
2024-04-30,2024-03-31,299767.35
2024-08-31,2024-06-30,3497960.38
2024-10-31,2024-09-30,6185253.16
2025-03-22,2024-12-31,6884998.52
2025-04-26,2025-03-31,1306291.66
2025-08-30,2025-06-30,4608223.8
2025-10-25,2025-09-30,5351491.23
