date,period,value
2020-04-29,2020-03-31,408241311.32
2020-08-20,2020-06-30,408241311.32
2020-10-28,2020-09-30,408241311.32
2021-04-10,2020-12-31,408241311.32
2021-04-29,2021-03-31,768812214.18
2021-08-20,2021-06-30,768812214.18
2021-10-28,2021-09-30,768812214.18
2022-03-04,2021-12-31,768812214.18
2022-04-12,2022-03-31,937438231.85
2022-08-02,2022-06-30,937438231.85
2022-10-10,2022-09-30,937438231.85
2023-02-21,2022-12-31,937438231.85
2023-04-08,2023-03-31,1601299830.99
2023-07-13,2023-06-30,1601299830.99
2023-10-26,2023-09-30,1601299830.99
2024-03-11,2023-12-31,1601299830.99
2024-04-13,2024-03-31,1969272883.32
2024-07-27,2024-06-30,1972246441.56
2024-10-31,2024-09-30,1972246441.56
2025-04-03,2024-12-31,1981961240.82
2025-04-30,2025-03-31,2167781487.34
2025-08-28,2025-06-30,2167781487.34
2025-10-31,2025-09-30,2167781487.34
