date,period,value
2020-04-29,2020-03-31,2818092494.24
2020-08-26,2020-06-30,2790194506.61
2020-10-28,2020-09-30,2822740008.03
2021-04-29,2020-12-31,2808013783.73
2021-04-29,2021-03-31,2341233664.93
2021-08-28,2021-06-30,2230585417.99
2021-10-29,2021-09-30,2099735496.79
2022-03-31,2021-12-31,1976667809.96
2022-04-28,2022-03-31,1997096944.9
2022-08-31,2022-06-30,1911195579.09
2022-10-29,2022-09-30,1810642883.91
2023-04-08,2022-12-31,7920478617.61
2023-04-27,2023-03-31,8193011710.55
2023-08-30,2023-06-30,8196546208.13
2023-10-31,2023-09-30,9891581771.19
2024-04-26,2023-12-31,10277028538.26
2024-04-26,2024-03-31,10554737531.44
2024-08-30,2024-06-30,10529217979.33
2024-10-26,2024-09-30,10721051869.19
2025-04-25,2024-12-31,10930329681.4
2025-04-25,2025-03-31,11143381569.83
2025-08-29,2025-06-30,10972560137.07
2025-10-28,2025-09-30,11295424589.7
