date,period,value
2020-04-24,2020-03-31,473381951.72
2020-08-25,2020-06-30,473381951.72
2020-10-28,2020-09-30,473381951.72
2021-04-27,2020-12-31,473381951.72
2021-04-27,2021-03-31,1602902295.65
2021-08-27,2021-06-30,1602902295.65
2021-10-22,2021-09-30,1602902295.65
2022-04-27,2021-12-31,1602902295.65
2022-04-27,2022-03-31,3394624823.73
2022-08-26,2022-06-30,3394624823.73
2022-10-28,2022-09-30,3394624823.73
2023-04-28,2022-12-31,3394624823.73
2023-04-28,2023-03-31,3400159412.95
2023-08-30,2023-06-30,3400159412.95
2023-10-20,2023-09-30,3400159412.95
2024-04-18,2023-12-31,3400159412.95
2024-04-18,2024-03-31,7150747529.28
2024-08-13,2024-06-30,7150747529.28
2024-10-25,2024-09-30,7150747529.28
2025-03-11,2024-12-31,7150747529.28
2025-04-30,2025-03-31,7013045285.45
2025-08-29,2025-06-30,7013045285.45
2025-10-28,2025-09-30,7013045285.45
