date,period,value
2022-12-22,2020-12-31,4000000.0
2022-12-22,2021-12-31,8000000.0
2022-12-22,2022-06-30,8000000.0
2023-05-31,2022-12-31,8000000.0
2023-07-27,2023-03-31,16728905.9
2023-08-14,2023-06-30,16593667.0
2023-10-27,2023-09-30,16593667.0
2024-03-26,2023-12-31,16593667.0
2024-04-20,2024-03-31,31443667.0
2024-07-31,2024-06-30,16593667.0
2024-10-29,2024-09-30,16593667.0
2025-03-29,2024-12-31,16593667.0
2025-04-22,2025-03-31,16593667.0
2025-08-09,2025-06-30,16593667.0
2025-10-31,2025-09-30,15613667.78
