date,period,value
2020-04-25,2020-03-31,14570460.3
2020-08-28,2020-06-30,14570460.3
2020-10-31,2020-09-30,14570460.3
2021-04-24,2020-12-31,12943199.61
2021-04-24,2021-03-31,22615499.38
2021-08-28,2021-06-30,22589345.76
2021-10-30,2021-09-30,22589345.76
2022-04-27,2021-12-31,21892724.76
2022-04-27,2022-03-31,21892724.76
2022-08-31,2022-06-30,21892724.76
2022-10-29,2022-09-30,21892724.76
2023-04-27,2022-12-31,13176687.76
2023-04-27,2023-03-31,13176687.76
2023-08-30,2023-06-30,13176687.76
2023-10-31,2023-09-30,13176687.76
2024-04-27,2023-12-31,12943199.61
2024-04-27,2024-03-31,12943199.61
2024-08-31,2024-06-30,12943199.61
2024-10-30,2024-09-30,12943199.61
2025-04-22,2024-12-31,12943199.61
2025-04-22,2025-03-31,12943199.61
2025-08-27,2025-06-30,12943199.61
2025-10-31,2025-09-30,12943199.61
