date,period,value
2020-08-03,2020-06-30,19629.93
2020-08-10,2020-03-31,19717.08
2020-10-30,2020-09-30,-13157.42
2021-03-30,2020-12-31,2081783.98
2021-04-27,2021-03-31,9303.11
2021-08-30,2021-06-30,5137750.82
2021-10-26,2021-09-30,12063078.38
2022-04-19,2021-12-31,19594768.96
2022-04-19,2022-03-31,1433903.67
2022-08-30,2022-06-30,3230268.62
2022-10-21,2022-09-30,8695183.24
2023-04-19,2022-12-31,-2345851.63
2023-04-26,2023-03-31,-1833523.51
2023-08-17,2023-06-30,334134.94
2023-10-31,2023-09-30,-7823632.07
2024-04-27,2023-12-31,-134150880.42
2024-04-27,2024-03-31,1916849.56
2024-08-19,2024-06-30,-4142050.38
2024-10-24,2024-09-30,-9443183.89
2025-04-29,2024-12-31,-4253464.13
2025-04-29,2025-03-31,161778.27
2025-08-30,2025-06-30,607182.97
2025-10-31,2025-09-30,-1751561.64
