date,period,value
2020-04-30,2020-03-31,100
2020-08-28,2020-06-30,100
2020-10-30,2020-09-30,100
2021-03-27,2020-12-31,100
2021-04-28,2021-03-31,100
2021-08-28,2021-06-30,100
2021-10-27,2021-09-30,100
2022-04-01,2021-12-31,100
2022-04-30,2022-03-31,100
2022-08-27,2022-06-30,100
2022-10-29,2022-09-30,100
2023-04-13,2022-12-31,100
2023-04-29,2023-03-31,100
2023-08-31,2023-06-30,100
2023-10-28,2023-09-30,100
2024-03-28,2023-12-31,100
2024-04-27,2024-03-31,100
2024-08-21,2024-06-30,100
2024-10-29,2024-09-30,100
2025-04-17,2024-12-31,100
2025-04-30,2025-03-31,100
2025-08-21,2025-06-30,100
2025-10-31,2025-09-30,100
2026-04-11,2025-12-31,100
