date,period,value
2020-04-30,2020-03-31,-62757.27
2020-08-28,2020-06-30,-62757.27
2020-10-31,2020-09-30,-2127785.33
2021-04-29,2020-12-31,-15254553.06
2021-04-29,2021-03-31,19676.12
2021-08-30,2021-06-30,10958039.53
2021-10-29,2021-09-30,1797053.38
2022-04-30,2021-12-31,-4119000.09
2022-04-30,2022-03-31,-861591.8
2022-08-31,2022-06-30,13057850.56
2022-10-31,2022-09-30,25183983.81
2023-04-29,2022-12-31,23106012.09
2023-04-29,2023-03-31,-4719863.24
2023-08-29,2023-06-30,6325398.29
2023-10-31,2023-09-30,4892236.68
2024-04-25,2023-12-31,1835234.39
2024-04-25,2024-03-31,923258.87
2024-08-31,2024-06-30,3081505.83
2024-10-31,2024-09-30,-5575806.31
2025-04-25,2024-12-31,7346129.34
2025-04-25,2025-03-31,-741463.93
2025-08-29,2025-06-30,-2211934.11
2025-10-28,2025-09-30,-6165729.07
