date,period,value
2020-04-30,2020-03-31,35701442.37
2020-08-28,2020-06-30,35701442.37
2020-10-30,2020-09-30,35701442.37
2021-04-29,2020-12-31,35701442.37
2021-04-29,2021-03-31,35701442.37
2021-08-24,2021-06-30,35701442.37
2021-10-20,2021-09-30,35701442.37
2022-04-22,2021-12-31,35701442.37
2022-04-29,2022-03-31,35701442.37
2022-08-20,2022-06-30,35701442.37
2022-10-28,2022-09-30,35701442.37
2023-04-25,2022-12-31,35701442.37
2023-04-25,2023-03-31,35701442.37
2023-08-30,2023-06-30,35701442.37
2023-10-28,2023-09-30,35701442.37
2024-04-26,2023-12-31,35701442.37
2024-04-26,2024-03-31,35701442.37
2024-08-30,2024-06-30,35701442.37
2024-10-29,2024-09-30,35701442.37
2025-04-23,2024-12-31,35701442.37
2025-04-29,2025-03-31,35701442.37
2025-08-29,2025-06-30,35701442.37
2025-10-30,2025-09-30,35701442.37
