date,period,value
2020-04-29,2020-03-31,10000.0
2020-08-22,2020-06-30,10000.0
2020-10-30,2020-09-30,10000.0
2021-04-20,2020-12-31,5010000.0
2022-04-19,2021-12-31,10000000.0
2022-04-29,2022-03-31,4000000.0
2022-08-29,2022-06-30,7000000.0
2022-10-29,2022-09-30,10000000.0
2023-04-25,2022-12-31,17000000.0
2023-08-29,2023-06-30,2000000.0
2023-10-28,2023-09-30,2000000.0
2024-04-23,2023-12-31,7300000.0
2024-04-27,2024-03-31,6550000.0
2024-08-28,2024-06-30,13050000.0
2024-10-30,2024-09-30,16350000.0
2025-04-23,2024-12-31,16550000.0
2025-04-29,2025-03-31,22550000.0
2025-08-28,2025-06-30,29850000.0
2025-10-29,2025-09-30,38150000.0
